chapter,sentence,char,word,word_num,tot_words,ch_num,value,sum_sent,wds_norm,sum_length_adj,sum_norm,ch_name
Span notes 1 aardborg.txt,chibo makes a few coin betting on the outcome and buys an app for the table.,chibo,chibo,0,608,1,0,0,0,0,0,Aardborg
Span notes 1 aardborg.txt,"late 998 - two years after signing of treaty of thronehold in the silver spigot: evertonette (brian) - med height humanoid, med brown hair - arcaneer, utilitarian dress, nice lute vandare (tom) - competitive, snobby, goth attitude rook (eby) - missed the war - half-elf, skinny dane (dan) - rook and vandare do a little dance-off while evertonette fills in for the lute player when his string breaks.",dane,late,0,531,1,0,0,0,0,0,Aardborg
Span notes 1 aardborg.txt,"late 998 - two years after signing of treaty of thronehold in the silver spigot: evertonette (brian) - med height humanoid, med brown hair - arcaneer, utilitarian dress, nice lute vandare (tom) - competitive, snobby, goth attitude rook (eby) - missed the war - half-elf, skinny dane (dan) - rook and vandare do a little dance-off while evertonette fills in for the lute player when his string breaks.",evertonette,late,0,662,1,0,0,0,0,0,Aardborg
Span notes 1 aardborg.txt,"late 998 - two years after signing of treaty of thronehold in the silver spigot: evertonette (brian) - med height humanoid, med brown hair - arcaneer, utilitarian dress, nice lute vandare (tom) - competitive, snobby, goth attitude rook (eby) - missed the war - half-elf, skinny dane (dan) - rook and vandare do a little dance-off while evertonette fills in for the lute player when his string breaks.",rook,late,0,550,1,0,0,0,0,0,Aardborg
Span notes 1 aardborg.txt,"late 998 - two years after signing of treaty of thronehold in the silver spigot: evertonette (brian) - med height humanoid, med brown hair - arcaneer, utilitarian dress, nice lute vandare (tom) - competitive, snobby, goth attitude rook (eby) - missed the war - half-elf, skinny dane (dan) - rook and vandare do a little dance-off while evertonette fills in for the lute player when his string breaks.",vandare,late,0,357,1,0,0,0,0,0,Aardborg
Span notes 1 aardborg.txt,"toby the goblin throwing shade at xotl - evertonette calms him down and sends him on his way. —— dropping in media res: pinned down on a bluff by a band of knolls, 25 or so, at the base of a hill, 500 feet from us; chibo and xotl fortified behind a large rock.",xotl,toby,0,474,1,0,0,0,0,0,Aardborg
Span notes 1 aardborg.txt,"toby the goblin throwing shade at xotl - evertonette calms him down and sends him on his way. —— dropping in media res: pinned down on a bluff by a band of knolls, 25 or so, at the base of a hill, 500 feet from us; chibo and xotl fortified behind a large rock.",xotl,calms,9,474,1,3.300751879699248,3.300751879699248,0.01991150442477876,0.006963611560546937,0.05338768863085985,Aardborg
Span notes 1 aardborg.txt,"late 998 - two years after signing of treaty of thronehold in the silver spigot: evertonette (brian) - med height humanoid, med brown hair - arcaneer, utilitarian dress, nice lute vandare (tom) - competitive, snobby, goth attitude rook (eby) - missed the war - half-elf, skinny dane (dan) - rook and vandare do a little dance-off while evertonette fills in for the lute player when his string breaks.",evertonette,nice,24,662,1,4.951127819548872,4.951127819548872,0.03779527559055118,0.007479045044635758,0.05733934534220748,Aardborg
Span notes 1 aardborg.txt,"late 998 - two years after signing of treaty of thronehold in the silver spigot: evertonette (brian) - med height humanoid, med brown hair - arcaneer, utilitarian dress, nice lute vandare (tom) - competitive, snobby, goth attitude rook (eby) - missed the war - half-elf, skinny dane (dan) - rook and vandare do a little dance-off while evertonette fills in for the lute player when his string breaks.",vandare,nice,24,357,1,4.951127819548872,4.951127819548872,0.07250755287009064,0.013868705376887596,0.1063267412228049,Aardborg
Span notes 1 aardborg.txt,"late 998 - two years after signing of treaty of thronehold in the silver spigot: evertonette (brian) - med height humanoid, med brown hair - arcaneer, utilitarian dress, nice lute vandare (tom) - competitive, snobby, goth attitude rook (eby) - missed the war - half-elf, skinny dane (dan) - rook and vandare do a little dance-off while evertonette fills in for the lute player when his string breaks.",rook,nice,24,550,1,4.951127819548872,4.951127819548872,0.05052631578947368,0.009002050580997949,0.06901572112098428,Aardborg
Span notes 1 aardborg.txt,"late 998 - two years after signing of treaty of thronehold in the silver spigot: evertonette (brian) - med height humanoid, med brown hair - arcaneer, utilitarian dress, nice lute vandare (tom) - competitive, snobby, goth attitude rook (eby) - missed the war - half-elf, skinny dane (dan) - rook and vandare do a little dance-off while evertonette fills in for the lute player when his string breaks.",dane,nice,24,531,1,4.951127819548872,4.951127819548872,0.045627376425855515,0.009324157852257762,0.07148521020064284,Aardborg
Span notes 1 aardborg.txt,"toby the goblin throwing shade at xotl - evertonette calms him down and sends him on his way. —— dropping in media res: pinned down on a bluff by a band of knolls, 25 or so, at the base of a hill, 500 feet from us; chibo and xotl fortified behind a large rock.",chibo,calms,24,608,1,3.300751879699248,3.300751879699248,0.05139186295503212,0.005428868223189553,0.04162132304445324,Aardborg
