chapter,char,sentiment,sum_sent,words,ch_num,ch_name
Span notes 1 aardborg.txt,LT-031,anger,63,4500,1,Aardborg
Span notes 1 aardborg.txt,LT-031,anticipation,89,4500,1,Aardborg
Span notes 1 aardborg.txt,LT-031,disgust,44,4500,1,Aardborg
Span notes 1 aardborg.txt,LT-031,fear,103,4500,1,Aardborg
Span notes 1 aardborg.txt,LT-031,joy,53,4500,1,Aardborg
Span notes 1 aardborg.txt,LT-031,sadness,59,4500,1,Aardborg
Span notes 1 aardborg.txt,LT-031,surprise,52,4500,1,Aardborg
Span notes 1 aardborg.txt,LT-031,trust,94,4500,1,Aardborg
Span notes 1 aardborg.txt,chibo,anger,6,323,1,Aardborg
Span notes 1 aardborg.txt,chibo,anticipation,14,323,1,Aardborg
Span notes 1 aardborg.txt,chibo,disgust,5,323,1,Aardborg
Span notes 1 aardborg.txt,chibo,fear,12,323,1,Aardborg
Span notes 1 aardborg.txt,chibo,joy,8,323,1,Aardborg
Span notes 1 aardborg.txt,chibo,sadness,5,323,1,Aardborg
Span notes 1 aardborg.txt,chibo,surprise,6,323,1,Aardborg
Span notes 1 aardborg.txt,chibo,trust,12,323,1,Aardborg
Span notes 1 aardborg.txt,dane,anger,9,295,1,Aardborg
Span notes 1 aardborg.txt,dane,anticipation,9,295,1,Aardborg
Span notes 1 aardborg.txt,dane,disgust,8,295,1,Aardborg
Span notes 1 aardborg.txt,dane,fear,16,295,1,Aardborg
Span notes 1 aardborg.txt,dane,joy,6,295,1,Aardborg
Span notes 1 aardborg.txt,dane,sadness,8,295,1,Aardborg
Span notes 1 aardborg.txt,dane,surprise,6,295,1,Aardborg
Span notes 1 aardborg.txt,dane,trust,8,295,1,Aardborg
Span notes 1 aardborg.txt,evertonette,anger,9,368,1,Aardborg
Span notes 1 aardborg.txt,evertonette,anticipation,11,368,1,Aardborg
Span notes 1 aardborg.txt,evertonette,disgust,6,368,1,Aardborg
Span notes 1 aardborg.txt,evertonette,fear,11,368,1,Aardborg
Span notes 1 aardborg.txt,evertonette,joy,11,368,1,Aardborg
Span notes 1 aardborg.txt,evertonette,sadness,8,368,1,Aardborg
Span notes 1 aardborg.txt,evertonette,surprise,5,368,1,Aardborg
Span notes 1 aardborg.txt,evertonette,trust,19,368,1,Aardborg
Span notes 1 aardborg.txt,rook,anger,4,322,1,Aardborg
Span notes 1 aardborg.txt,rook,anticipation,10,322,1,Aardborg
Span notes 1 aardborg.txt,rook,disgust,1,322,1,Aardborg
Span notes 1 aardborg.txt,rook,fear,6,322,1,Aardborg
Span notes 1 aardborg.txt,rook,joy,7,322,1,Aardborg
Span notes 1 aardborg.txt,rook,sadness,7,322,1,Aardborg
Span notes 1 aardborg.txt,rook,surprise,7,322,1,Aardborg
Span notes 1 aardborg.txt,rook,trust,10,322,1,Aardborg
Span notes 1 aardborg.txt,vandare,anger,7,205,1,Aardborg
Span notes 1 aardborg.txt,vandare,anticipation,8,205,1,Aardborg
Span notes 1 aardborg.txt,vandare,disgust,1,205,1,Aardborg
Span notes 1 aardborg.txt,vandare,fear,12,205,1,Aardborg
Span notes 1 aardborg.txt,vandare,joy,4,205,1,Aardborg
Span notes 1 aardborg.txt,vandare,sadness,5,205,1,Aardborg
Span notes 1 aardborg.txt,vandare,surprise,2,205,1,Aardborg
Span notes 1 aardborg.txt,vandare,trust,11,205,1,Aardborg
Span notes 1 aardborg.txt,xotl,anger,6,279,1,Aardborg
Span notes 1 aardborg.txt,xotl,anticipation,8,279,1,Aardborg
Span notes 1 aardborg.txt,xotl,disgust,5,279,1,Aardborg
Span notes 1 aardborg.txt,xotl,fear,8,279,1,Aardborg
Span notes 1 aardborg.txt,xotl,joy,11,279,1,Aardborg
Span notes 1 aardborg.txt,xotl,sadness,4,279,1,Aardborg
Span notes 1 aardborg.txt,xotl,surprise,6,279,1,Aardborg
Span notes 1 aardborg.txt,xotl,trust,16,279,1,Aardborg
SPAN notes 10 widebridge.txt,LT-031,anger,69,4646,10,Widebridge
